src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,pkts_sent,pkts_received,duration_sec,avg_pkt_size,pkt_rate,syn_count,ack_count,fin_count,rst_count,psh_count,syn_ack_ratio,syn_fin_ratio,min_pkt_size,max_pkt_size,total_packets,total_bytes,traffic_type,packet_type,filter_stage,timestamp
140.82.112.21,10.207.139.196,443,34064,TCP,148,0,2,0,1.015122,74.00,1.97,2,2,0,0,0,1.000,999.000,74,74,2,148,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748222
127.0.0.53,127.0.0.1,53,37594,UDP,223,0,1,0,0.000001,223.00,1000000.00,0,0,0,0,0,0.000,0.000,223,223,1,223,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748237
127.0.0.53,127.0.0.1,53,60753,UDP,251,0,1,0,0.000001,251.00,1000000.00,0,0,0,0,0,0.000,0.000,251,251,1,251,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748240
10.207.139.174,10.207.139.196,53,56318,UDP,212,0,1,0,0.000001,212.00,1000000.00,0,0,0,0,0,0.000,0.000,212,212,1,212,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748243
1.1.1.1,10.207.139.196,53,59703,UDP,86,0,1,0,0.000001,86.00,1000000.00,0,0,0,0,0,0.000,0.000,86,86,1,86,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748246
127.0.0.53,127.0.0.1,53,51964,UDP,223,0,1,0,0.000001,223.00,1000000.00,0,0,0,0,0,0.000,0.000,223,223,1,223,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748249
10.207.139.174,10.207.139.196,53,53360,UDP,117,0,1,0,0.000001,117.00,1000000.00,0,0,0,0,0,0.000,0.000,117,117,1,117,LOCAL_NETWORK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748253
1.1.1.1,10.207.139.196,53,36955,UDP,98,0,1,0,0.000001,98.00,1000000.00,0,0,0,0,0,0.000,0.000,98,98,1,98,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748256
140.82.112.21,10.207.139.196,443,34076,TCP,74,0,1,0,0.000001,74.00,1000000.00,1,1,0,0,0,1.000,999.000,74,74,1,74,EXTERNAL,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748259
127.0.0.53,127.0.0.1,53,60443,UDP,251,0,1,0,0.000001,251.00,1000000.00,0,0,0,0,0,0.000,0.000,251,251,1,251,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748262
127.0.0.1,127.0.0.1,45474,5000,TCP,194,136,3,2,0.000373,66.00,13404.83,0,4,1,1,2,0.000,0.000,54,74,5,330,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748265
127.0.0.1,127.0.0.1,45466,5000,TCP,132,66,2,1,0.000330,66.00,9090.91,0,3,2,0,0,0.000,0.000,66,66,3,198,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748267
127.0.0.1,127.0.0.1,45478,5000,TCP,132,66,2,1,0.000165,66.00,18181.82,0,3,2,0,0,0.000,0.000,66,66,3,198,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748270
127.0.0.1,127.0.0.1,46016,5000,TCP,5255,29771,15,9,1.558371,1459.42,15.40,2,23,0,0,13,0.087,999.000,66,27835,24,35026,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748273
127.0.0.1,127.0.0.1,46024,5000,TCP,1063,686,7,7,0.024235,124.93,577.68,2,13,2,0,6,0.154,1.000,66,639,14,1749,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748276
127.0.0.1,127.0.0.1,46028,5000,TCP,2662,1029,8,5,1.253860,283.92,10.37,2,12,0,0,6,0.167,999.000,66,836,13,3691,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748281
127.0.0.1,127.0.0.1,40696,5000,TCP,1956,34090,9,6,0.412690,2403.07,36.35,2,14,0,0,6,0.143,999.000,66,32834,15,36046,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748284
127.0.0.1,127.0.0.1,40704,5000,TCP,977,513,6,4,0.004343,149.00,2302.56,2,9,2,0,2,0.222,1.000,66,639,10,1490,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748286
127.0.0.1,127.0.0.1,40708,5000,TCP,74,0,1,0,0.000001,74.00,1000000.00,1,0,0,0,0,999.000,999.000,74,74,1,74,LOCAL_LOOPBACK,ALLOWED,PASSED_ALL_FILTERS,2025-11-09T07:36:57.748289
