src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,pkts_sent,pkts_received,duration_sec,avg_pkt_size,pkt_rate,syn_count,ack_count,fin_count,rst_count,psh_count,syn_ack_ratio,syn_fin_ratio,min_pkt_size,max_pkt_size,total_packets,total_bytes
127.0.0.1,127.0.0.1,56974,5000,TCP,1328,38652,7,5,12.980224,3331.67,0.92,0,12,0,0,5,0.000,0.000,66,37766,12,39980
127.0.0.1,127.0.0.1,56976,5000,TCP,2882,1562,9,7,12.488826,277.75,1.28,0,16,0,0,10,0.000,0.000,66,606,16,4444
127.0.0.1,127.0.0.1,55900,5682,TCP,66,66,1,1,0.000017,66.00,117647.06,0,2,0,0,0,0.000,0.000,66,66,2,132
127.0.0.1,127.0.0.1,39174,5000,TCP,769,491,7,5,0.004220,105.00,2843.60,2,11,2,0,3,0.182,1.000,66,282,12,1260
127.0.0.1,127.0.0.1,5000,54700,TCP,348,273,4,4,4.010367,77.62,1.99,0,8,0,0,4,0.000,0.000,66,122,8,621
127.0.0.1,127.0.0.1,5000,55408,TCP,211,132,2,2,0.040236,85.75,99.41,0,4,0,0,2,0.000,0.000,66,122,4,343
127.0.0.1,127.0.0.1,5000,56980,TCP,618,413,8,6,8.076153,73.64,1.73,0,14,2,0,6,0.000,0.000,66,126,14,1031
127.0.0.1,127.0.0.1,39188,5000,TCP,769,491,7,5,0.004902,105.00,2447.98,2,11,2,0,3,0.182,1.000,66,282,12,1260
10.207.139.174,10.207.139.196,53,59979,UDP,272,0,1,0,0.000001,272.00,1000000.00,0,0,0,0,0,0.000,0.000,272,272,1,272
127.0.0.53,127.0.0.1,53,30044,UDP,272,0,1,0,0.000001,272.00,1000000.00,0,0,0,0,0,0.000,0.000,272,272,1,272
127.0.0.53,127.0.0.1,53,34957,UDP,248,0,1,0,0.000001,248.00,1000000.00,0,0,0,0,0,0.000,0.000,248,248,1,248
127.0.0.53,127.0.0.1,53,53923,UDP,276,0,1,0,0.000001,276.00,1000000.00,0,0,0,0,0,0.000,0.000,276,276,1,276
10.207.139.174,10.207.139.196,53,56921,UDP,276,0,1,0,0.000001,276.00,1000000.00,0,0,0,0,0,0.000,0.000,276,276,1,276
10.207.139.174,10.207.139.196,53,42742,UDP,248,0,1,0,0.000001,248.00,1000000.00,0,0,0,0,0,0.000,0.000,248,248,1,248
10.207.139.174,10.207.139.196,53,39166,UDP,149,0,1,0,0.000001,149.00,1000000.00,0,0,0,0,0,0.000,0.000,149,149,1,149
127.0.0.53,127.0.0.1,53,57315,UDP,446,0,1,0,0.000001,446.00,1000000.00,0,0,0,0,0,0.000,0.000,446,446,1,446
140.82.113.21,10.207.139.196,443,50918,TCP,74,0,1,0,0.000001,74.00,1000000.00,1,1,0,0,0,1.000,999.000,74,74,1,74
127.0.0.53,127.0.0.1,53,57350,UDP,474,0,1,0,0.000001,474.00,1000000.00,0,0,0,0,0,0.000,0.000,474,474,1,474
127.0.0.1,127.0.0.1,39908,5000,TCP,957,457,5,4,0.012385,157.11,726.69,2,8,0,0,4,0.250,999.000,66,671,9,1414
